"","videoId","textDisplay","textOriginal","authorDisplayName","authorProfileImageUrl","authorChannelUrl","authorChannelId.value","canRate","viewerRating","likeCount","publishedAt","updatedAt","id","parentId","moderationStatus"
"1559","sClRvaIAYTc","TARCÍSIO GOMES DE FREITAS SERÁ GOVERNADOR DE SÃO PAULO EM PRIMEIRO TURNO EM 2022.","TARCÍSIO GOMES DE FREITAS SERÁ GOVERNADOR DE SÃO PAULO EM PRIMEIRO TURNO EM 2022.","Márcio Silva","https://yt3.ggpht.com/ytc/AKedOLREosX6uzKCuq7x-jtcFtXy6F69G5pXjLiFfsDF=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/channel/UCaorCybgpol6EeQXXu14Ssw","UCaorCybgpol6EeQXXu14Ssw","TRUE","none","36","2021-07-23T07:50:41Z","2021-07-23T07:50:41Z","UgzFpTAGtPZLmdLLCjB4AaABAg",NA,NA
"1560","sClRvaIAYTc","ÚNICO REPRESENTANTE DA DIREITA NO BRASIL, BOLSONARO VAI SER REELEITO EM PRIMEIRO TURNO EM 2022.","ÚNICO REPRESENTANTE DA DIREITA NO BRASIL, BOLSONARO VAI SER REELEITO EM PRIMEIRO TURNO EM 2022.","Márcio Silva","https://yt3.ggpht.com/ytc/AKedOLREosX6uzKCuq7x-jtcFtXy6F69G5pXjLiFfsDF=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/channel/UCaorCybgpol6EeQXXu14Ssw","UCaorCybgpol6EeQXXu14Ssw","TRUE","none","57","2021-07-23T07:50:30Z","2021-07-23T07:50:30Z","UgxewiwYP6HVVdXNZFB4AaABAg",NA,NA
"1561","sClRvaIAYTc","Se o presidente for eleito só com um voto de maioria,esse voto é o meu ,esse PT enganou os pobres com essa esmola de bolsa família, só estimulou as jovens menos esclarecidas à terem filhos alimentou à bandidagem o desemprego enfim tudo que não presta","Se o presidente for eleito só com um voto de maioria,esse voto é o meu ,esse PT enganou os pobres com essa esmola de bolsa família, só estimulou as jovens menos esclarecidas à terem filhos alimentou à bandidagem o desemprego enfim tudo que não presta","Ademir Jose","https://yt3.ggpht.com/ytc/AKedOLQvVJir5dv3ja0lPmGhzhyLvt-igftECaXegw=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/channel/UClXtdfw422DdVmPedogxepA","UClXtdfw422DdVmPedogxepA","TRUE","none","1","2021-07-23T07:46:57Z","2021-07-23T07:46:57Z","Ugz5RbGCN_73LCWvBEd4AaABAg",NA,NA
"1562","sClRvaIAYTc","Abraço presidente","Abraço presidente","Jose Marcelo","https://yt3.ggpht.com/ytc/AKedOLQug-vtd6oWGs3vMqn_XKpYAbhai_qix475CA=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/channel/UCfTTx-yxvI0PmIB-lCK80Fw","UCfTTx-yxvI0PmIB-lCK80Fw","TRUE","none","1","2021-07-23T07:46:20Z","2021-07-23T07:46:20Z","Ugzuw2QPV8L9rvWU_jF4AaABAg",NA,NA
"1563","sClRvaIAYTc","<a href=""http://www.youtube.com/results?search_query=%23presidente"">#PRESIDENTE</a> MOSTRE AS FRAUDES DO TSE EM REDE NACIONAL AS 2030 HORÁRIO NOBRE.","#PRESIDENTE MOSTRE AS FRAUDES DO TSE EM REDE NACIONAL AS 2030 HORÁRIO NOBRE.","Raimundo Costa","https://yt3.ggpht.com/ytc/AKedOLRqyJE8wqi9iRnnDeE6dOO8FPRRzRQM6Bkqyg=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/channel/UCQgvUwqiBR06mNZAgxplbhw","UCQgvUwqiBR06mNZAgxplbhw","TRUE","none","7","2021-07-23T07:45:41Z","2021-07-23T07:45:41Z","UgxXb7315RNIYAkKSBd4AaABAg",NA,NA
"1564","sClRvaIAYTc","Deus todos  poderoso qreado doseu  edatera   fosa  capitão  vamos  você  está quera  dese  ladraos  traedores  traedores  fósa  capitão bolsonaro","Deus todos  poderoso qreado doseu  edatera   fosa  capitão  vamos  você  está quera  dese  ladraos  traedores  traedores  fósa  capitão bolsonaro","Arthur Rodrigues","https://yt3.ggpht.com/ytc/AKedOLSxRkvxFVq7Q1n2sKhqd0u3xbHY4sKm5j7NyQhemOAaKXux7QpaQnztBwcwpte7=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/channel/UCsWU5N5Ioz_z6W1jeNB-kGw","UCsWU5N5Ioz_z6W1jeNB-kGw","TRUE","none","1","2021-07-23T07:44:40Z","2021-07-23T07:44:40Z","Ugy6jNZYKvR6dZq_l8l4AaABAg",NA,NA
"1565","sClRvaIAYTc","Cuidar com nosso dinheiro do nosso suor de novos eleitores, pagadores de impostos, contribuintes do INSS, saudáveis, atuantes. Gera lucro pra o governo.Brasileiros geraria despesa.","Cuidar com nosso dinheiro do nosso suor de novos eleitores, pagadores de impostos, contribuintes do INSS, saudáveis, atuantes. Gera lucro pra o governo.Brasileiros geraria despesa.","Marcia Campos","https://yt3.ggpht.com/ytc/AKedOLTAQ5XHVyl8jjFRm23g3865oDJiu5_sJwQdzw=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/channel/UCfbrxIp4DBmZO_b58MHn1YA","UCfbrxIp4DBmZO_b58MHn1YA","TRUE","none","31","2021-07-23T07:44:16Z","2021-07-23T07:44:16Z","UgwnrE7P_ZMO-4764b94AaABAg",NA,NA
"1566","sClRvaIAYTc","250 mil repatriados vizinhos é  uma vergonha! Hipocrisia e politicagem ! Temos milhões de brasileiros vivendo pior e sem condições psiologicas , físicas por estarem jogados comendo lixo ao relento com suas famílias! Mas não geram lucro. Deixemos morrerem nas sarjetas!😠😠😠😠😤😤😤😤😤😁","250 mil repatriados vizinhos é  uma vergonha! Hipocrisia e politicagem ! Temos milhões de brasileiros vivendo pior e sem condições psiologicas , físicas por estarem jogados comendo lixo ao relento com suas famílias! Mas não geram lucro. Deixemos morrerem nas sarjetas!😠😠😠😠😤😤😤😤😤😁","Marcia Campos","https://yt3.ggpht.com/ytc/AKedOLTAQ5XHVyl8jjFRm23g3865oDJiu5_sJwQdzw=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/channel/UCfbrxIp4DBmZO_b58MHn1YA","UCfbrxIp4DBmZO_b58MHn1YA","TRUE","none","1","2021-07-23T07:40:55Z","2021-07-23T07:40:55Z","Ugw2FDrovO17LR8isPB4AaABAg",NA,NA
"1567","sClRvaIAYTc","Bolsonaro sempre","Bolsonaro sempre","Ozires Farias","https://yt3.ggpht.com/ytc/AKedOLRrv7gexHP6AZQfk-LntFwg3xinkZOFbxkDPg=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/channel/UCjbfUItgCjNhvESN0ZPvJng","UCjbfUItgCjNhvESN0ZPvJng","TRUE","none","1","2021-07-23T07:39:38Z","2021-07-23T07:39:38Z","Ugx7OLBSnbwzj7zibkR4AaABAg",NA,NA
"1568","sClRvaIAYTc","Socialismo é a apologia a vagabundagem e a cafajestagem","Socialismo é a apologia a vagabundagem e a cafajestagem","Sigo O Lider JB","https://yt3.ggpht.com/3UDmgcdXVS_6Nhehlr13-6jVcozUT7FSbb7NiPERfq7ZJc5mO-s6ZC7HWF_Y3IhRms58piAdQg=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/channel/UCDl38e_PaTS4ykD4GCcyU8Q","UCDl38e_PaTS4ykD4GCcyU8Q","TRUE","none","1","2021-07-23T07:38:43Z","2021-07-23T07:38:43Z","Ugx2EEw-h_d_mhl8mE54AaABAg",NA,NA
