"","item1","item2","n"
"1","abençoe","bolsonaro",61
"2","sempre","bolsonaro",52
"3","povo","bolsonaro",46
"4","sempre","abençoe",41
"5","2022","bolsonaro",39
"6","jesus","abençoe",34
"7","abençoe","fé",31
"8","povo","brasileiro",30
"9","abençoe","gentileza",30
"10","bolsonaro","messias",30
"11","jesus","ajudar",29
"12","abençoe","ajudar",29
"13","jesus","abençoa",29
"14","abençoe","abençoa",29
"15","ajudar","abençoa",29
"16","jesus","gentileza",29
"17","ajudar","gentileza",29
"18","abençoa","gentileza",29
"19","jesus","fé",29
"20","ajudar","fé",29
"21","abençoa","fé",29
"22","gentileza","fé",29
"23","abençoe","proteja",25
"24","governadores","prefeitos",23
"25","eleições","bolsonaro",19
"26","sempre","proteja",19
"27","bolsonaro","esquerda",18
"28","querido","bolsonaro",17
"29","bolsonaro","proteja",17
"30","bolsonaro","trump",17
"31","sempre","povo",16
"32","bolsonaro","brasileiro",16
"33","bolsonaro","nunca",15
"34","jesus","cristo",14
"35","puxa","saco",14
"36","estados","unidos",14
"37","sempre","querido",12
"38","povo","abençoe",12
"39","querido","abençoe",12
"40","voto","bolsonaro",12
"41","povo","esquerda",12
"42","eleições","2022",11
"43","bolsonaro","sp",11
"44","abençoe","vida",11
"45","bolsonaro","nação",11
"46","povo","nunca",11
"47","bolsonaro","orgulho",11
"48","paulo","russomano",11
"49","eleições","povo",10
"50","povo","2022",10
"51","paulo","bolsonaro",10
"52","política","corrupção",10
"53","abençoe","messias",10
"54","jesus","povo",9
"55","bolsonaro","família",9
"56","bolsonaro","prefeito",9
"57","bolsonaro","prefeitos",9
"58","baba","ovo",9
"59","bolsonaro","lula",9
"60","bolsonaro","mal",9
"61","bolsonaro","direita",9
"62","fechar","eleições",8
"63","república","bolsonaro",8
"64","povo","vida",8
"65","povo","poder",8
"66","bolsonaro","poder",8
"67","paulo","prefeito",8
"68","povo","prefeito",8
"69","cidade","prefeito",8
"70","eleições","vote",8
"71","povo","prefeitos",8
"72","bolsonaro","filhos",8
"73","bolsonaro","comunistas",8
"74","bolsonaro","comunista",8
"75","segunda","onda",8
"76","rio","janeiro",8
"77","bolsonaro","eua",8
"78","política","combate",8
"79","corrupção","combate",8
"80","sempre","messias",8
"81","política","nova",8
"82","corrupção","nova",8
"83","combate","nova",8
"84","política","cumprir",8
"85","corrupção","cumprir",8
"86","combate","cumprir",8
"87","nova","cumprir",8
"88","voto","impresso",7
"89","voto","2022",7
"90","quero","bolsonaro",7
"91","ja","bolsonaro",7
"92","dias","bolsonaro",7
"93","jesus","bolsonaro",7
"94","grande","bolsonaro",7
"95","fechar","bolsonaro",7
"96","força","bolsonaro",7
"97","bolsonaro","votem",7
"98","bolsonaro","contigo",7
"99","povo","fica",7
"100","sempre","vida",7
"101","bolsonaro","verdade",7
"102","povo","foto",7
"103","bolsonaro","candidato",7
"104","bolsonaro","tô",7
"105","povo","vote",7
"106","eleições","esquerda",7
"107","2022","esquerda",7
"108","povo","besta",7
"109","povo","políticos",7
"110","povo","acorda",7
"111","bolsonaro","stf",7
"112","bolsonaro","governadores",7
"113","stf","prefeitos",7
"114","bolsonaro","certo",7
"115","bolsonaro","lá",7
"116","prefeitos","vereadores",7
"117","bolsonaro","junto",7
"118","povo","casa",7
"119","bolsonaro","corrupção",7
"120","bolsonaro","russomano",7
"121","campanha","cumprir",7
"122","amado","bolsonaro",6
"123","bolsonaro","fica",6
"124","bolsonaro","pr",6
"125","bolsonaro","política",6
"126","bolsonaro","pt",6
"127","bolsonaro","vida",6
"128","bolsonaro","filho",6
"129","querido","proteja",6
"130","povo","governo",6
"131","povo","nação",6
"132","bolsonaro","brasileira",6
"133","bolsonaro","vem",6
"134","voto","nunca",6
"135","fechar","prefeito",6
"136","bolsonaro","vergonha",6
"137","abençoe","sabedoria",6
"138","bolsonaro","ajudar",6
"139","bolsonaro","maior",6
"140","povo","lado",6
"141","bolsonaro","lado",6
"142","poder","esquerda",6
"143","bolsonaro","políticos",6
"144","stf","governadores",6
"145","bolsonaro","próximo",6
"146","povo","certo",6
"147","bolsonaro","culpa",6
"148","sempre","amém",6
"149","política","campanha",6
"150","bolsonaro","saber",6
"151","bolsonaro","vereadores",6
"152","bolsonaro","biden",6
"153","eleições","eua",6
"154","bolsonaro","comando",6
"155","bolsonaro","rj",6
"156","bolsonaro","votos",6
"157","campanha","corrupção",6
"158","esquerda","direita",6
"159","campanha","combate",6
"160","comunista","esquerdista",6
"161","bolsonaro","nova",6
"162","campanha","nova",6
"163","chuva","louvores",6
"164","política","promessas",6
"165","corrupção","promessas",6
"166","combate","promessas",6
"167","nova","promessas",6
"168","cumprir","promessas",6
"169","passando","fome",5
"170","amado","abençoe",5
"171","povo","voto",5
"172","acontecer","bolsonaro",5
"173","abençoe","grandemente",5
"174","sempre","família",5
"175","abençoe","família",5
"176","abençoe","pr",5
"177","povo","pt",5
"178","povo","político",5
"179","eleições","poder",5
"180","família","governo",5
"181","nação","brasileira",5
"182","bolsonaro","liberdade",5
"183","fica","pessoal",5
"184","bolsonaro","conservador",5
"185","bolsonaro","patriota",5
"186","bolsonaro","cada",5
"187","pt","nunca",5
"188","bolsonaro","precisa",5
"189","bolsonaro","foto",5
"190","candidato","prefeito",5
"191","bolsonaro","votei",5
"192","bando","saco",5
"193","povo","gado",5
"194","bolsonaro","deveria",5
"195","nunca","esquerda",5
"196","povo","único",5
"197","bolsonaro","único",5
"198","povo","governadores",5
"199","fecharam","prefeitos",5
"200","votem","prefeitos",5
"201","bolsonaro","igual",5
"202","povo","errado",5
"203","povo","feliz",5
"204","bolsonaro","reeleição",5
"205","povo","burro",5
"206","prefeitos","comunistas",5
"207","abençoe","amém",5
"208","2022","trump",5
"209","eleições","comunista",5
"210","eleições","vírus",5
"211","bolsonaro","jeito",5
"212","prefeitos","brasileiro",5
"213","povo","mal",5
"214","bolsonaro","conta",5
"215","bolsonaro","donald",5
"216","bolsonaro","ladrão",5
"217","povo","vereadores",5
"218","bolsonaro","unidos",5
"219","prefeito","comércio",5
"220","bolsonaro","olhos",5
"221","bolsonaro","mito",5
"222","bolsonaro","casa",5
"223","bolsonaro","novo",5
"224","abençoe","orgulho",5
"225","bolsonaro","apoio",5
"226","eleições","2020",5
"227","esquerda","candidatos",5
"228","bolsonaro","cuidado",5
"229","bolsonaro","menos",5
"230","eleições","municipais",5
"231","bolsonaro","pres",5
"232","bolsonaro","honesto",5
"233","moro","sérgio",5
"234","nunca","partidos",5
"235","bolsonaro","verdadeiro",5
"236","bolsonaro","mídia",5
"237","prefeito","russomano",5
"238","2022","reeleito",5
"239","trump","amigo",5
"240","paulo","celso",5
"241","bolsonaro","celso",5
"242","sempre","ilumine",5
"243","bolsonaro","ilumine",5
"244","pt","psdb",5
"245","bolsonaro","equipe",5
"246","bolsonaro","seguranças",5
"247","eleições","fraudar",5
"248","verde","amarelo",5
"249","urnas","eleições",4
"250","certeza","eleições",4
"251","paulo","covas",4
"252","eleições","voto",4
"253","ja","2022",4
"254","acontecer","2022",4
"255","impresso","2022",4
"256","covid","bolsonaro",4
"257","ruim","bolsonaro",4
"258","enquanto","bolsonaro",4
"259","certeza","bolsonaro",4
"260","máscara","bolsonaro",4
"261","milhares","bolsonaro",4
"262","cristo","bolsonaro",4
"263","tira","bolsonaro",4
"264","paulo","sp",4
"265","sempre","sp",4
"266","povo","votem",4
"267","bolsonaro","resposta",4
"268","abençoe","fica",4
"269","povo","bando",4
"270","2022","pt",4
"271","povo","dessa",4
"272","bolsonaro","político",4
"273","povo","nenhum",4
"274","povo","fim",4
"275","bolsonaro","fim",4
"276","pai","filho",4
"277","poder","inimigos",4
"278","fechadocombolsonaro","somos57milhoes",4
"279","fechadocombolsonaro","nordestecombolsonaro",4
"280","somos57milhoes","nordestecombolsonaro",4
"281","fechadocombolsonaro","vozparabernadokuster",4
"282","somos57milhoes","vozparabernadokuster",4
"283","nordestecombolsonaro","vozparabernadokuster",4
"284","fechadocombolsonaro","aceitaalcolumbre",4
"285","somos57milhoes","aceitaalcolumbre",4
"286","nordestecombolsonaro","aceitaalcolumbre",4
"287","vozparabernadokuster","aceitaalcolumbre",4
"288","fechadocombolsonaro","familiascontrafelipeneto",4
"289","somos57milhoes","familiascontrafelipeneto",4
"290","nordestecombolsonaro","familiascontrafelipeneto",4
"291","vozparabernadokuster","familiascontrafelipeneto",4
"292","aceitaalcolumbre","familiascontrafelipeneto",4
"293","fechadocombolsonaro","aglomerabrasil",4
"294","somos57milhoes","aglomerabrasil",4
"295","nordestecombolsonaro","aglomerabrasil",4
"296","vozparabernadokuster","aglomerabrasil",4
"297","aceitaalcolumbre","aglomerabrasil",4
"298","familiascontrafelipeneto","aglomerabrasil",4
"299","bolsonaro","avante",4
"300","bolsonaro","governo",4
"301","vida","governo",4
"302","abençoe","nação",4
"303","política","brasileira",4
"304","eleições","pessoal",4
"305","povo","pessoal",4
"306","bolsonaro","curitiba",4
"307","povo","vem",4
"308","bolsonaro","feito",4
"309","certeza","nunca",4
"310","eleições","nunca",4
"311","sempre","nunca",4
"312","2022","nunca",4
"313","vida","nunca",4
"314","bolsonaro","tempo",4
"315","bolsonaro","moro",4
"316","paulo","candidato",4
"317","voto","prefeito",4
"318","sp","prefeito",4
"319","abençoe","trabalho",4
"320","bando","puxa",4
"321","vergonha","alheia",4
"322","povo","fecha",4
"323","bolsonaro","cima",4
"324","bolsonaro","tbm",4
"325","bolsonaro","iguais",4
"326","fechar","vote",4
"327","nunca","vote",4
"328","bolsonaro","apoia",4
"329","povo","ajudar",4
"330","povo","deveria",4
"331","povo","maior",4
"332","bolsonaro","mil",4
"333","mil","mortos",4
"334","sempre","esquerda",4
"335","vida","esquerda",4
"336","vote","esquerda",4
"337","bolsonaro","besta",4
"338","povo","stf",4
"339","esquerda","stf",4
"340","stf","congresso",4
"341","bolsonaro","sabe",4
"342","bolsonaro","reais",4
"343","bolsonaro","sei",4
"344","povo","trabalhar",4
"345","nunca","forma",4
"346","povo","igual",4
"347","bolsonaro","adianta",4
"348","bolsonaro","palavras",4
"349","povo","filhos",4
"350","povo","dinheiro",4
"351","bolsonaro","dinheiro",4
"352","bolsonaro","rio",4
"353","bolsonaro","gosto",4
"354","povo","liga",4
"355","povo","querendo",4
"356","décimo","quarto",4
"357","povo","comunistas",4
"358","governadores","comunistas",4
"359","bolsonaro","hora",4
"360","eleições","trump",4
"361","sempre","saúde",4
"362","povo","lula",4
"363","povo","comunista",4
"364","poder","comunista",4
"365","esquerda","comunista",4
"366","nunca","vírus",4
"367","prefeito","jeito",4
"368","sempre","brasileiro",4
"369","nação","brasileiro",4
"370","esquerda","pior",4
"371","povo","vota",4
"372","bolsonaro","vota",4
"373","nunca","tanta",4
"374","abençoe","mal",4
"375","pt","mal",4
"376","bolsonaro","carlos",4
"377","bolsonaro","partido",4
"378","trump","donald",4
"379","política","saber",4
"380","lula","ladrão",4
"381","votem","vereadores",4
"382","eleições","unidos",4
"383","poder","mãos",4
"384","trump","derrota",4
"385","abençoe","fazendo",4
"386","bolsonaro","fazendo",4
"387","pandemia","fazendo",4
"388","fechar","comércio",4
"389","prefeitos","comércio",4
"390","fechar","novamente",4
"391","bolsonaro","novamente",4
"392","povo","economia",4
"393","vem","biden",4
"394","eleições","falando",4
"395","povo","falando",4
"396","bolsonaro","falando",4
"397","bolsonaro","americanos",4
"398","sempre","dando",4
"399","bolsonaro","dando",4
"400","bolsonaro","logo",4
"401","bolsonaro","venha",4
"402","sempre","junto",4
"403","tamo","junto",4
"404","prefeitos","destruição",4
"405","povo","noção",4
"406","povo","eua",4
"407","povo","pobre",4
"408","nenhum","lugar",4
"409","bolsonaro","contrário",4
"410","bolsonaro","oposição",4
"411","povo","papel",4
"412","fica","casa",4
"413","2022","novo",4
"414","povo","luta",4
"415","bolsonaro","fique",4
"416","povo","continuar",4
"417","bolsonaro","continuar",4
"418","povo","eita",4
"419","bolsonaro","mudou",4
"420","bolsonaro","candidatos",4
"421","bolsonaro","escolhido",4
"422","bolsonaro","100",4
"423","paulo","joão",4
"424","povo","parte",4
"425","povo","cuidado",4
"426","bolsonaro","alguém",4
"427","povo","menos",4
"428","bolsonaro","corruptos",4
"429","bolsonaro","segurança",4
"430","povo","partidos",4
"431","bolsonaro","partidos",4
"432","pt","partidos",4
"433","esquerda","partidos",4
"434","bolsonaro","nenhuma",4
"435","bolsonaro","2026",4
"436","bolsonaro","deputados",4
"437","paulo","doria",4
"438","povo","dê",4
"439","abençoe","dê",4
"440","povo","mídia",4
"441","trump","mídia",4
"442","comunista","mídia",4
"443","eleições","votos",4
"444","poder","votos",4
"445","esquerda","votos",4
"446","biden","votos",4
"447","mídia","votos",4
"448","povo","momento",4
"449","saber","corrupção",4
"450","eleições","fraude",4
"451","2022","fraude",4
"452","rj","crivella",4
"453","sp","russomano",4
"454","bolsonaro","pobres",4
"455","bozo","kkkkk",4
"456","povo","direita",4
"457","diz","direita",4
"458","bolsonaro","reeleito",4
"459","prefeito","reeleito",4
"460","saber","combate",4
"461","povo","idolatra",4
"462","república","messias",4
"463","proteja","messias",4
"464","bolsonaro","esquerdista",4
"465","bolsonaro","amigo",4
"466","bolsonaro","eleger",4
"467","prefeito","celso",4
"468","russomano","celso",4
"469","paciência","jó",4
"470","prefeitos","preste",4
"471","abençoe","ilumine",4
"472","saber","nova",4
"473","2022","americanas",4
"474","bolsonaro","bh",4
"475","pt","psol",4
"476","pt","psb",4
"477","bolsonaro","pátria",4
"478","bolsonaro","amada",4
"479","bolsonaro","tempos",4
"480","santos","jaque",4
"481","bolsonaro","tamos",4
"482","paulo","russomanno",4
"483","rio","crivela",4
"484","livre","choro",4
"485","bolsonaro","patriotas",4
"486","povo","equipe",4
"487","abençoe","equipe",4
"488","eleição","resultado",4
"489","stf","empregos",4
"490","prefeitos","empregos",4
"491","destruição","empregos",4
"492","bolsonaro","forte",4
"493","mídia","podre",4
"494","política","principais",4
"495","corrupção","principais",4
"496","combate","principais",4
"497","nova","principais",4
"498","povo","questão",4
"499","campanha","promessa",4
"500","saber","cumprir",4
"501","principais","cumprir",4
"502","promessa","cumprir",4
"503","campanha","promessas",4
"504","o_saldado","barros",4
"505","junior","passo",4
"506","sergio","pedrope",4
"507","ja","jesus",3
"508","covid","fome",3
"509","jesus","fome",3
"510","ja","sair",3
"511","podemos","deixar",3
"512","fechar","deixar",3
"513","deixar","acontecer",3
"514","rua","paulo",3
"515","qualquer","eleições",3
"516","grande","eleições",3
"517","paulo","eleições",3
"518","jesus","sempre",3
"519","eleições","sempre",3
"520","ruim","povo",3
"521","dias","povo",3
"522","podemos","povo",3
"523","fechar","povo",3
"524","fome","povo",3
"525","acontecer","povo",3
"526","urnas","povo",3
"527","paulo","empresas",3
"528","milhões","desempregados",3
"529","povo","emprego",3
"530","sempre","república",3
"531","sempre","amado",3
"532","povo","amado",3
"533","povo","querido",3
"534","amado","querido",3
"535","grande","abençoe",3
"536","confia","homens",3
"537","sempre","cristo",3
"538","emprego","voto",3
"539","abençoe","voto",3
"540","povo","impresso",3
"541","certeza","2022",3
"542","sempre","2022",3
"543","povo","tira",3
"544","povo","chato",3
"545","cair","bolsonaro",3
"546","qualquer","bolsonaro",3
"547","podemos","bolsonaro",3
"548","urnas","bolsonaro",3
"549","falta","bolsonaro",3
"550","horas","bolsonaro",3
"551","povo","sp",3
"552","abençoe","sp",3
"553","sp","votem",3
"554","família","fica",3
"555","sempre","pr",3
"556","povo","política",3
"557","bolsonaro","velho",3
"558","família","vida",3
"559","resto","vida",3
"560","bolsonaro","além",3
"561","política","político",3
"562","além","político",3
"563","bolsonaro","ponto",3
"564","além","nenhum",3
"565","político","nenhum",3
"566","eleições","verdade",3
"567","bolsonaro","pai",3
"568","jesus","filho",3
"569","sempre","poder",3
"570","política","poder",3
"571","pt","poder",3
"572","povo","medo",3
"573","verdade","fale",3
"574","amado","proteja",3
"575","sempre","fechadocombolsonaro",3
"576","abençoe","fechadocombolsonaro",3
"577","ruim","governo",3
"578","2022","governo",3
"579","conservador","patriota",3
"580","paulo","sao",3
"581","covid","nunca",3
"582","jesus","nunca",3
"583","política","nunca",3
"584","nenhum","nunca",3
"585","nação","nunca",3
"586","quero","tempo",3
"587","povo","tanto",3
"588","bolsonaro","tanto",3
"589","tira","foto",3
"590","bolsonaro","cidade",3
"591","2022","moro",3
"592","filho","moro",3
"593","bolsonaro","falei",3
"594","sempre","prefeito",3
"595","pt","prefeito",3
"596","nunca","prefeito",3
"597","abençoe","votei",3
"598","voto","votei",3
"599","família","votei",3
"600","voto","nele",3
"601","nunca","nele",3
"602","votei","nele",3
"603","bolsonaro","eleito",3
"604","povo","saco",3
"605","povo","vergonha",3
"606","fica","fecha",3
"607","povo","acabou",3
"608","bolsonaro","acabou",3
"609","nunca","acabou",3
"610","bolsonaro","sistema",3
"611","povo","realmente",3
"612","sempre","sabedoria",3
"613","povo","fotos",3
"614","povo","merda",3
"615","bolsonaro","vote",3
"616","candidato","vote",3
"617","prefeito","vote",3
"618","candidato","vereador",3
"619","prefeito","vereador",3
"620","bolsonaro","eleitoral",3
"621","fundo","eleitoral",3
"622","bolsonaro","apoiador",3
"623","patriota","ajudar",3
"624","seguro","desemprego",3
"625","bolsonaro","ajuda",3
"626","bolsonaro","auxílio",3
"627","povo","bozo",3
"628","2022","bozo",3
"629","filho","bozo",3
"630","bolsonaro","daqui",3
"631","vida","gado",3
"632","bando","baba",3
"633","eleições","maior",3
"634","sempre","lado",3
"635","bolsonaro","fechando",3
"636","povo","mil",3
"637","vida","mil",3
"638","abençoe","esquerda",3
"639","voto","esquerda",3
"640","votem","esquerda",3
"641","pt","esquerda",3
"642","pessoal","esquerda",3
"643","sempre","fechados",3
"644","bolsonaro","fechados",3
"645","fica","políticos",3
"646","político","políticos",3
"647","bolsonaro","respeito",3
"648","bolsonaro","pastores",3
"649","bolsonaro","manda",3
"650","podemos","acorda",3
"651","eleições","acorda",3
"652","vote","acorda",3
"653","nunca","único",3
"654","dias","stf",3
"655","pt","stf",3
"656","fechar","governadores",3
"657","fecharam","governadores",3
"658","covid","prefeitos",3
"659","fechar","prefeitos",3
"660","eleições","prefeitos",3
"661","sempre","prefeitos",3
"662","pt","prefeitos",3
"663","vote","prefeitos",3
"664","povo","demais",3
"665","bolsonaro","demais",3
"666","bolsonaro","governar",3
"667","acontecer","sabe",3
"668","povo","sabe",3
"669","verdade","sabe",3
"670","poder","sabe",3
"671","realmente","sabe",3
"672","esquerda","sabe",3
"673","bolsonaro","pais",3
"674","povo","aumento",3
"675","quero","sei",3
"676","esquerda","sei",3
"677","bolsonaro","nesse",3
"678","bolsonaro","aliados",3
"679","fechar","certo",3
"680","eleições","certo",3
"681","vote","certo",3
"682","gado","certo",3
"683","bolsonaro","né",3
"684","eleições","forma",3
"685","família","forma",3
"686","falta","consequências",3
"687","eleições","pandemia",3
"688","povo","pandemia",3
"689","governo","pandemia",3
"690","forma","pandemia",3
"691","jesus","morreu",3
"692","bolsonaro","usando",3
"693","bozo","usando",3
"694","2022","filhos",3
"695","filhos","dinheiro",3
"696","povo","ovo",3
"697","bando","ovo",3
"698","bolsonaro","caro",3
"699","povo","gosto",3
"700","bolsonaro","absurdo",3
"701","bolsonaro","errado",3
"702","eleições","lá",3
"703","povo","lá",3
"704","vem","lá",3
"705","eleições","reeleição",3
"706","2022","reeleição",3
"707","foto","querendo",3
"708","povo","amor",3
"709","bolsonaro","amor",3
"710","eleições","presidência",3
"711","povo","presidência",3
"712","república","presidência",3
"713","bolsonaro","presidência",3
"714","povo","antes",3
"715","bolsonaro","antes",3
"716","eleições","comunistas",3
"717","nunca","comunistas",3
"718","bolsonaro","flávio",3
"719","bolsonaro","cadeia",3
"720","povo","perde",3
"721","bolsonaro","oportunidade",3
"722","povo","culpa",3
"723","esquerda","culpa",3
"724","pandemia","culpa",3
"725","povo","hora",3
"726","bolsonaro","chegar",3
"727","hora","chegar",3
"728","bolsonaro","amém",3
"729","proteja","amém",3
"730","ja","trump",3
"731","jesus","trump",3
"732","grande","trump",3
"733","povo","trump",3
"734","política","trump",3
"735","bozo","trump",3
"736","esquerda","trump",3
"737","próximo","trump",3
"738","igual","trump",3
"739","reeleição","trump",3
"740","bolsonaro","comunismo",3
"741","bolsonaro","razão",3
"742","povo","saúde",3
"743","abençoe","saúde",3
"744","bolsonaro","saúde",3
"745","filho","lula",3
"746","nunca","comunista",3
"747","trump","comunista",3
"748","lula","petista",3
"749","covid","vírus",3
"750","povo","vírus",3
"751","bolsonaro","vírus",3
"752","forma","vírus",3
"753","fechar","segunda",3
"754","bolsonaro","segunda",3
"755","vírus","segunda",3
"756","vírus","onda",3
"757","bolsonaro","lixo",3
"758","povo","jeito",3
"759","povo","direito",3
"760","covid","brasileiro",3
"761","falta","brasileiro",3
"762","abençoe","brasileiro",3
"763","pt","brasileiro",3
"764","poder","brasileiro",3
"765","nunca","brasileiro",3
"766","vote","brasileiro",3
"767","políticos","brasileiro",3
"768","governadores","brasileiro",3
"769","comunista","cérebro",3
"770","bolsonaro","outro",3
"771","nenhum","outro",3
"772","poder","outro",3
"773","povo","pior",3
"774","2022","pior",3
"775","bolsonaro","pior",3
"776","vote","pior",3
"777","políticos","pior",3
"778","eleições","vota",3
"779","políticos","vota",3
"780","povo","tanta",3
"781","bolsonaro","tanta",3
"782","gado","cercadinho",3
"783","bolsonaro","amigos",3
"784","poucos","amigos",3
"785","bolsonaro","falou",3
"786","fica","mal",3
"787","proteja","mal",3
"788","sei","mal",3
"789","comunistas","mal",3
"790","brasileira","população",3
"791","governadores","população",3
"792","prefeitos","população",3
"793","dinheiro","comprar",3
"794","bolsonaro","terra",3
"795","povo","partido",3
"796","voto","partido",3
"797","nenhum","partido",3
"798","nunca","partido",3
"799","esquerda","partido",3
"800","comunista","partido",3
"801","bolsonaro","responder",3
"802","política","responder",3
"803","feito","caso",3
"804","povo","órgãos",3
"805","michele","queiroz",3
"806","culpa","conta",3
"807","bolsonaro","pena",3
"808","povo","parece",3
"809","trump","caiu",3
"810","responder","saber",3
"811","bolsonaro","janeiro",3
"812","governadores","vereadores",3
"813","brasileiro","vereadores",3
"814","eleições","estados",3
"815","povo","estados",3
"816","2022","estados",3
"817","vida","estados",3
"818","mortos","estados",3
"819","trump","estados",3
"820","sempre","unidos",3
"821","povo","unidos",3
"822","2022","unidos",3
"823","trump","unidos",3
"824","sempre","mãos",3
"825","bolsonaro","mãos",3
"826","unidos","mãos",3
"827","bolsonaro","países",3
"828","pt","fazendo",3
"829","votem","comércio",3
"830","covid","novamente",3
"831","paulo","novamente",3
"832","eleições","novamente",3
"833","povo","novamente",3
"834","votei","novamente",3
"835","vote","novamente",3
"836","comércio","novamente",3
"837","bolsonaro","precisamos",3
"838","prefeito","economia",3
"839","prefeitos","economia",3
"840","comércio","economia",3
"841","bolsonaro","viva",3
"842","lá","biden",3
"843","terra","americanos",3
"844","biden","americanos",3
"845","povo","dando",3
"846","bolsonaro","tamo",3
"847","stf","destruição",3
"848","governadores","destruição",3
"849","povo","muitas",3
"850","povo","história",3
"851","bolsonaro","história",3
"852","pior","história",3
"853","político","legenda",3
"854","vote","legenda",3
"855","brasileiro","eua",3
"856","eleições","olhos",3
"857","povo","diz",3
"858","bolsonaro","diz",3
"859","nunca","diz",3
"860","bolsonaro","pobre",3
"861","bozo","pobre",3
"862","trump","perdeu",3
"863","sempre","mito",3
"864","povo","mito",3
"865","vida","lugar",3
"866","paulo","deu",3
"867","eleições","deu",3
"868","governo","deu",3
"869","nunca","deu",3
"870","lá","contrário",3
"871","biden","contrário",3
"872","biden","americano",3
"873","jesus","casa",3
"874","fechar","casa",3
"875","prefeito","casa",3
"876","fecha","casa",3
"877","prefeitos","casa",3
"878","fazendo","casa",3
"879","comércio","casa",3
"880","fiquem","casa",3
"881","pt","novo",3
"882","lá","luta",3
"883","bolsonaro","livre",3
"884","povo","orgulho",3
"885","política","orgulho",3
"886","proteja","orgulho",3
"887","bolsonaro","aproveitando",3
"888","bolsonaro","pedir",3
"889","pedir","inscrever",3
"890","bolsonaro","fortes",3
"891","humildemente","fique",3
"892","mal","educado",3
"893","eleições","querer",3
"894","povo","comando",3
"895","cada","mudou",3
"896","bolsonaro","2020",3
"897","sempre","amamos",3
"898","abençoe","amamos",3
"899","proteja","amamos",3
"900","bolsonaro","dizendo",3
"901","poder","dizendo",3
"902","povo","candidatos",3
"903","sp","candidatos",3
"904","vote","candidatos",3
"905","partido","candidatos",3
"906","povo","fizeram",3
"907","jesus","cruz",3
"908","gustavo","gayer",3
"909","gustavo","27",3
"910","gayer","27",3
"911","prefeito","joão",3
"912","quero","mim",3
"913","eleições","parte",3
"914","vote","cuidado",3
"915","esquerda","cuidado",3
"916","comunista","cuidado",3
"917","sempre","menos",3
"918","esquerda","menos",3
"919","pior","menos",3
"920","pobre","menos",3
"921","stf","corruptos",3
"922","povo","municipais",3
"923","vírus","china",3
"924","parte","china",3
"925","povo","inteiro",3
"926","terra","corrupto",3
"927","bolsonaro","mulher",3
"928","eleições","quanto",3
"929","povo","honesto",3
"930","prefeitos","honesto",3
"931","brasileiro","honesto",3
"932","bolsonaro","olhar",3
"933","lula","bandido",3
"934","povo","segurança",3
"935","povo","eleição",3
"936","vote","eleição",3
"937","próxima","eleição",3
"938","comunistas","partidos",3
"939","lugar","primeiro",3
"940","pop","star",3
"941","né","vezes",3
"942","abençoe","verdadeiro",3
"943","bolsonaro","verde",3
"944","bolsonaro","ordem",3
"945","povo","deputados",3
"946","eleições","doria",3
"947","pessoal","doria",3
"948","casa","doria",3
"949","lula","roubou",3
"950","proteja","dê",3
"951","grande","mídia",3
"952","eleições","mídia",3
"953","poder","mídia",3
"954","eua","mídia",3
"955","povo","votos",3
"956","2022","votos",3
"957","além","votos",3
"958","governo","votos",3
"959","respeito","educação",3
"960","realmente","pensar",3
"961","realmente","momento",3
"962","lava","jato",3
"963","povo","corrupção",3
"964","filhos","corrupção",3
"965","responder","corrupção",3
"966","orgulho","corrupção",3
"967","eleições","mesmos",3
"968","bolsonaro","fazem",3
"969","casa","governador",3
"970","eleições","podem",3
"971","povo","podem",3
"972","votos","podem",3
"973","estados","fraude",3
"974","unidos","fraude",3
"975","paulo","ir",3
"976","bolsonaro","ir",3
"977","eleições","estar",3
"978","forma","estar",3
"979","covid","19",3
"980","bolsonaro","crivella",3
"981","sp","crivella",3
"982","sao","russomano",3
"983","rj","russomano",3
"984","candidatos","russomano",3
"985","crivella","russomano",3
"986","recife","patrícia",3
"987","bolsonaro","temalguemai",3
"988","bolsonaro","kkkkk",3
"989","eleições","direita",3
"990","nunca","direita",3
"991","trump","direita",3
"992","deu","direita",3
"993","mídia","direita",3
"994","bolsonaro","mãe",3
"995","pai","mãe",3
"996","casa","mãe",3
"997","dizendo","mãe",3
"998","povo","desta",3
"999","abençoe","difícil",3
"1000","maior","autoridade",3
"1001","bolsonaro","combate",3
"1002","responder","combate",3
"1003","orgulho","combate",3
"1004","bolsonaro","senadores",3
"1005","deputados","senadores",3
"1006","bolsonaro","feira",3
"1007","bolsonaro","pare",3
"1008","bolsonaro","pára",3
"1009","lá","pára",3
"1010","brasileira","messias",3
"1011","orgulho","messias",3
"1012","povo","entregar",3
"1013","cérebro","esquerdista",3
"1014","mídia","esquerdista",3
"1015","bolsonaro","inteligentes",3
"1016","povo","eleger",3
"1017","bolsonaro","câmara",3
"1018","câmara","senado",3
"1019","prefeito","indicou",3
"1020","sp","celso",3
"1021","né","paciência",3
"1022","vezes","paciência",3
"1023","né","jó",3
"1024","vezes","jó",3
"1025","família","pensam",3
"1026","direita","estado",3
"1027","bolsonaro","entender",3
"1028","povo","cobrar",3
"1029","redes","sociais",3
"1030","responder","nova",3
"1031","orgulho","nova",3
"1032","eleições","americanas",3
